epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4625,0.66044,3.73418,1.04849,0.00455,1,0.2679,0.25063,0.28356,3.92437,0.85105,0.00013,0.00013,0.00013
2,62.6831,0.64169,2.99242,1.06524,0.0042,1,0.31748,0.2962,0.33639,3.66534,0.85868,0.00026109,0.00026109,0.00026109
3,92.9007,0.65295,2.57288,1.03031,0.31159,0.38348,0.43197,0.39697,0.38094,3.35077,0.88172,0.00038294,0.00038294,0.00038294
4,122.969,0.64753,2.27013,1.01578,0.7956,0.41841,0.60872,0.56329,0.41339,3.19483,0.89638,0.00049555,0.00049555,0.00049555
5,153.089,0.64306,2.05107,1.02602,0.70247,0.63416,0.76474,0.67175,0.49045,3.0284,0.92517,0.00059892,0.00059892,0.00059892
6,183.322,0.71425,2.06832,1.11982,0.6705,0.46886,0.70514,0.62984,0.4628,3.12557,0.94343,0.00069305,0.00069305,0.00069305
7,213.458,0.66655,1.81403,1.02695,0.6275,0.66996,0.73032,0.65121,0.46935,2.55029,0.93892,0.00077794,0.00077794,0.00077794
8,243.721,0.64183,1.78192,1.01883,0.89708,0.74986,0.88874,0.79822,0.46472,2.04839,0.91501,0.000769,0.000769,0.000769
9,273.961,0.7655,1.7577,1.15838,0.8766,0.86112,0.93353,0.85714,0.41718,1.74886,0.90063,0.000736,0.000736,0.000736
10,304.145,0.61111,1.53221,1.0331,0.85281,0.81428,0.90198,0.80592,0.454,2.03542,0.93379,0.000703,0.000703,0.000703
11,334.114,0.6558,1.66684,1.02397,0.92376,0.85728,0.93038,0.85533,0.45121,1.67359,0.90796,0.00067,0.00067,0.00067
12,364.126,0.64575,1.50502,1.01192,0.83699,0.87007,0.859,0.78265,0.42163,1.92404,0.89192,0.000637,0.000637,0.000637
13,394.138,0.60475,1.30862,0.97795,0.90619,0.90844,0.91448,0.81355,0.43281,1.73853,0.90246,0.000604,0.000604,0.000604
14,425.956,0.56756,1.20894,0.96586,0.91784,0.8905,0.95422,0.88456,0.39598,1.56757,0.883,0.000571,0.000571,0.000571
15,456.292,0.58064,1.19772,0.95247,0.9569,0.93474,0.99138,0.92212,0.39197,1.35226,0.87861,0.000538,0.000538,0.000538
16,486.711,0.60563,1.23663,0.9929,0.90691,0.99292,0.9885,0.92899,0.35653,1.23151,0.87381,0.000505,0.000505,0.000505
17,516.796,0.55496,1.19624,0.96816,0.9479,0.95273,0.99028,0.93059,0.34683,1.18283,0.86712,0.000472,0.000472,0.000472
18,547.124,0.55371,1.15396,0.95349,0.96025,0.94527,0.98227,0.92232,0.35382,1.27083,0.86744,0.000439,0.000439,0.000439
19,577.707,0.5227,1.10211,0.94296,0.95036,0.94245,0.99056,0.92366,0.39198,1.28336,0.87958,0.000406,0.000406,0.000406
20,607.792,0.50701,1.0183,0.94345,0.93004,0.94858,0.991,0.9421,0.35863,1.24098,0.86588,0.000373,0.000373,0.000373
21,637.617,0.37557,1.21315,0.85192,0.94963,0.91843,0.99047,0.93849,0.35945,1.37469,0.86803,0.00034,0.00034,0.00034
22,667.767,0.3504,1.11776,0.83891,0.98803,0.94839,0.9872,0.9441,0.32842,1.17568,0.85312,0.000307,0.000307,0.000307
23,697.837,0.35125,1.02544,0.8531,0.97797,0.94121,0.98589,0.94193,0.31951,1.11818,0.8539,0.000274,0.000274,0.000274
24,727.733,0.35012,1.02157,0.84221,0.9789,0.95109,0.98589,0.94604,0.31513,1.05087,0.84944,0.000241,0.000241,0.000241
25,757.462,0.37066,1.01736,0.87726,0.97923,0.93089,0.98635,0.94799,0.31098,1.08874,0.84655,0.000208,0.000208,0.000208
26,787.456,0.33836,0.97501,0.83707,0.98139,0.97605,0.99269,0.9578,0.31329,0.96139,0.84667,0.000175,0.000175,0.000175
27,817.466,0.31857,0.91798,0.83224,0.98847,0.97385,0.99269,0.95701,0.30456,0.91719,0.84514,0.000142,0.000142,0.000142
28,847.611,0.31967,0.89412,0.82616,0.97405,0.97824,0.99269,0.95959,0.29154,0.91475,0.84123,0.000109,0.000109,0.000109
29,877.386,0.29853,0.82801,0.81636,0.96953,0.98016,0.99269,0.95635,0.28888,0.91167,0.84093,7.6e-05,7.6e-05,7.6e-05
30,907.456,0.3249,0.86668,0.81284,0.97551,0.97702,0.991,0.95506,0.29671,0.90115,0.84403,4.3e-05,4.3e-05,4.3e-05
