epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8537,0.66044,3.73418,1.04849,0.00455,1,0.2679,0.25063,0.28356,3.92437,0.85105,0.00013,0.00013,0.00013
2,62.307,0.6362,2.99235,1.06226,0.00414,1,0.32532,0.30253,0.33977,3.6616,0.86071,0.000269109,0.000269109,0.000269109
3,92.8644,0.64033,2.55499,1.02376,0.30327,0.65176,0.44942,0.41378,0.40072,3.36572,0.89168,0.000407294,0.000407294,0.000407294
4,123.48,0.64567,2.23706,1.01553,0.74729,0.43554,0.71058,0.64824,0.43161,3.219,0.90611,0.000544555,0.000544555,0.000544555
5,154.209,0.65084,1.99943,1.02729,0.58844,0.39323,0.62903,0.5254,0.65977,3.30502,1.05359,0.000680892,0.000680892,0.000680892
6,184.755,0.69396,1.97964,1.09404,0.75373,0.75502,0.75016,0.65808,0.50951,2.5269,0.95203,0.000816305,0.000816305,0.000816305
7,215.657,0.6795,1.74555,1.01901,0.81938,0.73284,0.89412,0.79763,0.5176,2.26415,0.9616,0.000950794,0.000950794,0.000950794
8,246.478,0.69497,1.71557,1.0323,0.60862,0.80975,0.81885,0.71478,0.519,2.68111,0.96816,0.0009769,0.0009769,0.0009769
9,278.983,0.78155,1.70726,1.13984,0.72222,0.78466,0.8765,0.77234,0.50407,2.5305,0.93629,0.0009736,0.0009736,0.0009736
10,310.136,0.65469,1.53504,1.03672,0.61579,0.72321,0.77516,0.67745,0.52243,3.0216,0.94241,0.0009703,0.0009703,0.0009703
11,343.818,0.69163,1.65629,1.04432,0.87887,0.85695,0.88918,0.76919,0.52042,1.96245,0.9399,0.000967,0.000967,0.000967
12,376.256,0.69767,1.48572,1.02085,0.80877,0.72997,0.78733,0.70208,0.5051,2.08315,0.94327,0.0009637,0.0009637,0.0009637
